OBJECTID,Council District,Neighborhood Number,Neighborhood Name,Neighborhoods Site URL
1,4,103,West End,https://theneighborhoods.org/neighborhoods/west-end
2,4,105,Chandler Park,https://theneighborhoods.org/neighborhoods/chandler-park
3,4,100,Riverbend,https://theneighborhoods.org/neighborhoods/riverbend
4,4,101,Jefferson Chalmers,https://theneighborhoods.org/neighborhoods/jefferson-chalmers
5,1,29,Riverdale,https://theneighborhoods.org/neighborhoods/riverdale
6,4,97,Morningside,https://theneighborhoods.org/neighborhoods/morningside
7,4,92,Cornerstone Village,https://theneighborhoods.org/neighborhoods/cornerstone-village
8,3,72,Regent Park,https://theneighborhoods.org/neighborhoods/regent-park
9,1,10,North Rosedale Park,https://theneighborhoods.org/neighborhoods/north-rosedale-park
10,1,3,Berg-Lahser,https://theneighborhoods.org/neighborhoods/berg-lahser
11,1,1,Five Points,https://theneighborhoods.org/neighborhoods/five-points
12,1,32,The Eye,https://theneighborhoods.org/neighborhoods/the-eye
13,1,5,Old Redford,https://theneighborhoods.org/neighborhoods/old-redford
14,1,19,Grandmont,https://theneighborhoods.org/neighborhoods/grandmont
15,1,21,Grandmont #1,https://theneighborhoods.org/neighborhoods/grandmont-1
16,1,20,Rosedale Park,https://theneighborhoods.org/neighborhoods/rosedale-park
17,1,23,Minock Park,https://theneighborhoods.org/neighborhoods/minock-park
18,1,22,Westwood Park,https://theneighborhoods.org/neighborhoods/westwood-park
19,7,208,Warrendale,https://theneighborhoods.org/neighborhoods/warrendale
20,7,205,Garden View,https://theneighborhoods.org/neighborhoods/garden-view
21,7,204,Warren Ave Community,https://theneighborhoods.org/neighborhoods/warren-ave-community
22,7,183,Far West Detroit,https://theneighborhoods.org/neighborhoods/far-west-detroit
23,5,120,Marina District,https://theneighborhoods.org/neighborhoods/marina-district
24,5,111,Arden Park,https://theneighborhoods.org/neighborhoods/arden-park
25,5,123,Joseph Berry Sub,https://theneighborhoods.org/neighborhoods/joseph-berry-sub
26,5,125,Indian Village,https://theneighborhoods.org/neighborhoods/indian-village
27,5,129,Rivertown,https://theneighborhoods.org/neighborhoods/rivertown
28,5,126,West Village,https://theneighborhoods.org/neighborhoods/west-village
29,4,102,Conner Creek Industrial,https://theneighborhoods.org/neighborhoods/conner-creek-industrial
30,1,13,Belmont,https://theneighborhoods.org/neighborhoods/belmont
31,6,168,Corktown,https://theneighborhoods.org/neighborhoods/corktown
32,6,176,Boynton,https://theneighborhoods.org/neighborhoods/boynton
33,6,177,Oakwood Heights,https://theneighborhoods.org/neighborhoods/oakwood-heights
34,2,37,Blackstone Park,https://theneighborhoods.org/neighborhoods/blackstone-park
35,6,174,Delray,https://theneighborhoods.org/neighborhoods/delray
36,6,180,Claytown,https://theneighborhoods.org/neighborhoods/claytown
37,7,200,Aviation Sub,https://theneighborhoods.org/neighborhoods/aviation-sub
38,7,199,Barton-McFarland,https://theneighborhoods.org/neighborhoods/barton-mcfarland
39,5,139,Medical Center,https://theneighborhoods.org/neighborhoods/medical-center
40,2,58,Bagley,https://theneighborhoods.org/neighborhoods/bagley
41,2,43,Green Acres,https://theneighborhoods.org/neighborhoods/green-acres
42,2,46,State Fair,https://theneighborhoods.org/neighborhoods/state-fair
43,2,45,Palmer Woods,https://theneighborhoods.org/neighborhoods/palmer-woods
44,2,44,Sherwood Forest,https://theneighborhoods.org/neighborhoods/sherwood-forest
45,2,51,University District,https://theneighborhoods.org/neighborhoods/university-district
46,5,127,Islandview,https://theneighborhoods.org/neighborhoods/islandview
47,6,178,Springwells,https://theneighborhoods.org/neighborhoods/springwells
48,7,207,Franklin Park,https://theneighborhoods.org/neighborhoods/franklin-park
49,7,184,Weatherby,https://theneighborhoods.org/neighborhoods/weatherby
50,1,25,Castle Rouge,https://theneighborhoods.org/neighborhoods/castle-rouge
51,1,26,Eliza Howell,https://theneighborhoods.org/neighborhoods/eliza-howell
52,2,50,Detroit Golf,https://theneighborhoods.org/neighborhoods/detroit-golf
53,1,24,Brightmoor,https://theneighborhoods.org/neighborhoods/brightmoor
54,6,160,Chadsey Condon,https://theneighborhoods.org/neighborhoods/chadsey-condon
55,6,162,Woodbridge,https://theneighborhoods.org/neighborhoods/woodbridge
56,2,33,Greenfield,https://theneighborhoods.org/neighborhoods/greenfield
57,7,195,Oakman Blvd Community,https://theneighborhoods.org/neighborhoods/oakman-blvd-community
58,7,197,Nardin Park,https://theneighborhoods.org/neighborhoods/nardin-park
59,5,156,Petoskey-Otsego,https://theneighborhoods.org/neighborhoods/petoskey-otsego
60,5,147,Boston Edison,https://theneighborhoods.org/neighborhoods/boston-edison
61,3,81,Campau/Banglatown,https://theneighborhoods.org/neighborhoods/campau/banglatown
62,3,84,Conant Gardens,https://theneighborhoods.org/neighborhoods/conant-gardens
63,3,78,Krainz Woods,https://theneighborhoods.org/neighborhoods/krainz-woods
64,4,88,LaSalle College Park,https://theneighborhoods.org/neighborhoods/lasalle-college-park
65,5,130,Elmwood Park,https://theneighborhoods.org/neighborhoods/elmwood-park
66,5,134,McDougall-Hunt,https://theneighborhoods.org/neighborhoods/mcdougall-hunt
67,6,169,North Corktown,https://theneighborhoods.org/neighborhoods/north-corktown
68,5,140,Cultural Center,https://theneighborhoods.org/neighborhoods/cultural-center
69,6,175,Carbon Works,https://theneighborhoods.org/neighborhoods/carbon-works
70,6,179,Michigan-Martin,https://theneighborhoods.org/neighborhoods/michigan-martin
71,5,118,Pingree Park,https://theneighborhoods.org/neighborhoods/pingree-park
72,2,52,Martin Park,https://theneighborhoods.org/neighborhoods/martin-park
73,5,119,East Village,https://theneighborhoods.org/neighborhoods/east-village
74,6,173,Hubbard Farms,https://theneighborhoods.org/neighborhoods/hubbard-farms
75,7,196,Russell Woods,https://theneighborhoods.org/neighborhoods/russell-woods
76,5,124,Gold Coast,https://theneighborhoods.org/neighborhoods/gold-coast
77,3,71,Mohican Regent,https://theneighborhoods.org/neighborhoods/mohican-regent
78,6,164,Jeffries,https://theneighborhoods.org/neighborhoods/jeffries
79,5,136,Brewster Homes,https://theneighborhoods.org/neighborhoods/brewster-homes
80,3,70,Pulaski,https://theneighborhoods.org/neighborhoods/pulaski
81,6,171,Central Southwest,https://theneighborhoods.org/neighborhoods/central-southwest
82,6,170,Hubbard Richard,https://theneighborhoods.org/neighborhoods/hubbard-richard
83,5,153,NW Goldberg,https://theneighborhoods.org/neighborhoods/nw-goldberg
84,5,137,Douglass,https://theneighborhoods.org/neighborhoods/douglass
86,5,135,Forest Park,https://theneighborhoods.org/neighborhoods/forest-park
87,5,131,Lafayette Park,https://theneighborhoods.org/neighborhoods/lafayette-park
88,5,133,Eastern Market,https://theneighborhoods.org/neighborhoods/eastern-market
89,5,138,Brush Park,https://theneighborhoods.org/neighborhoods/brush-park
90,5,116,Gratiot Town/Kettering,https://theneighborhoods.org/neighborhoods/gratiot-town-kettering
91,3,76,Airport Sub,https://theneighborhoods.org/neighborhoods/airport-sub
92,3,86,Hawthorne Park,https://theneighborhoods.org/neighborhoods/hawthorne-park
93,5,115,Poletown East,https://theneighborhoods.org/neighborhoods/poletown-east
94,2,48,Grixdale Farms,https://theneighborhoods.org/neighborhoods/grixdale-farms
95,2,49,Palmer Park,https://theneighborhoods.org/neighborhoods/palmer-park
96,5,144,New Center Commons,https://theneighborhoods.org/neighborhoods/new-center-commons
97,5,146,Piety Hill,https://theneighborhoods.org/neighborhoods/piety-hill
98,3,85,Northeast Central District,https://theneighborhoods.org/neighborhoods/northeast-central-district
99,4,93,East English Village,https://theneighborhoods.org/neighborhoods/east-english-village
100,6,161,Core City,https://theneighborhoods.org/neighborhoods/core-city
101,5,145,Virginia Park,https://theneighborhoods.org/neighborhoods/virginia-park
102,7,187,Plymouth-Hubbell,https://theneighborhoods.org/neighborhoods/plymouth-hubbell
103,7,201,Joy-Schaefer,https://theneighborhoods.org/neighborhoods/joy-schaefer
104,3,82,North Campau,https://theneighborhoods.org/neighborhoods/north-campau
105,2,53,Pilgrim Village,https://theneighborhoods.org/neighborhoods/pilgrim-village
106,2,55,Fitzgerald/Marygrove,https://theneighborhoods.org/neighborhoods/fitzgerald-marygrove
107,2,47,Penrose,https://theneighborhoods.org/neighborhoods/penrose
108,2,59,Schulze,https://theneighborhoods.org/neighborhoods/schulze
109,2,38,Greenwich,https://theneighborhoods.org/neighborhoods/greenwich
110,5,157,Jamison,https://theneighborhoods.org/neighborhoods/jamison
111,2,36,Schaefer 7/8 Lodge,https://theneighborhoods.org/neighborhoods/schaefer-7-8-lodge
112,2,60,Tri-Point,https://theneighborhoods.org/neighborhoods/tri-point
113,2,62,College Park,https://theneighborhoods.org/neighborhoods/college-park
114,2,61,Winship,https://theneighborhoods.org/neighborhoods/winship
115,3,68,Nortown,https://theneighborhoods.org/neighborhoods/nortown
