Bus Stop ID,Location,Direction,Route Number,Route Name,Benches,Bench Responsibility,Trash Cans,Trash Can Responsibility,Shelters,Shelter Responsibility,Longitude,Latitude,ObjectId,x,y
3100,Southfield & Lyndon,Southbound,46,Southfield,false, ,false, ,false, ,-83.2183309,42.3935641,1,-9263822.22045414,5220116.97125054
3106,Southfield & W Outer Dr,Southbound,46,Southfield,false, ,false, ,false, ,-83.2192628,42.4187519,2,-9263925.95908761,5223914.31442673
3108,Southfield & W Outer Dr,Northbound,46,Southfield,false, ,false, ,false, ,-83.218588,42.4195141,3,-9263850.84069523,5224029.24839213
3109,Southfield & Curtis,Southbound,46,Southfield,false, ,false, ,false, ,-83.2195022,42.422515,4,-9263952.60897371,5224481.774877
3110,Southfield & Curtis,Northbound,46,Southfield,false, ,false, ,false, ,-83.2186061,42.4233229,5,-9263852.85557801,5224603.60741116
3111,W Outer Dr & Oakfield,Eastbound,16,Dexter,false, ,false, ,false, ,-83.214925,42.419086,6,-9263443.07740045,5223964.69399477
3112,W Outer Dr & Oakfield,Westbound,16,Dexter,false, ,false, ,false, ,-83.214771,42.419425,7,-9263425.93419887,5224015.8127174
3114,Southfield & 7 Mile,Southbound,46,Southfield,false, ,true,City of Detroit,false, ,-83.219821,42.42967,8,-9263988.09762737,5225560.81425192
3116,Southfield & Pembroke,Northbound,46,Southfield,false, ,false, ,false, ,-83.219287,42.4373919,9,-9263928.65301929,5226725.48553125
3117,Southfield & Pembroke,Southbound,46,Southfield,false, ,false, ,false, ,-83.2200358,42.4370081,10,-9264012.009054,5226667.59472624
3130,8 Mile & Rutland,Westbound,17,Eight Mile,false, ,true,Third-Party,false, ,-83.214498,42.4447721,11,-9263395.54397788,5227838.75335207
3142,Northwestern & Northland,Westbound,"10, 16, 17","Greenfield, Dexter, Eight Mile",true,DDOT,true,Third-Party,true,DDOT,-83.2053819,42.44716,12,-9262380.74436786,5228198.98471023
3144,Warren & Artesian,Eastbound,8,Warren,false, ,false, ,false, ,-83.2257479,42.3431981,13,-9264647.87711736,5212528.29983037
3145,Warren & Artesian,Westbound,8,Warren,false, ,false, ,false, ,-83.2261329,42.343408,14,-9264690.73512131,5212559.91295205
3146,Warren & Brace,Eastbound,8,Warren,false, ,false,City of Detroit,false, ,-83.2227441,42.3432329,15,-9264313.49563091,5212533.54106478
3147,Warren & Greenview,Westbound,8,Warren,false, ,false, ,false, ,-83.222341,42.3434489,16,-9264268.62274417,5212566.07292945
3148,Warren & Faust,Eastbound,8,Warren,false, ,true,Third-Party,false, ,-83.220241,42.34324,17,-9264034.85181351,5212534.61039744
3149,Warren & Penrod,Westbound,8,Warren,false, ,false, ,false, ,-83.220252,42.3434259,18,-9264036.07632791,5212562.60888299
3150,Warren & Rosemont,Eastbound,8,Warren,false, ,false, ,false, ,-83.218022,42.3432639,19,-9263787.83386344,5212538.20998293
3151,Warren & Ashton,Eastbound,8,Warren,false, ,false, ,false, ,-83.216863,42.3432651,20,-9263658.81457361,5212538.3907153
