Record ID,Business Name,Address,License Type,License Category,Expiration Date,Neighborhood,Council District,ZIP Code,Street Number,Street Prefix,Street Name,Street Type,Parcel ID,Address ID,Longitude,Latitude,ObjectId,x,y
BUS2012-00374,FAMILY DOLLAR STORES OF MICHIGAN,14305 Harper Ave,Retailer License,Retail,2025-08-31,Outer Drive-Hayes,4.0,48213,14305,,Harper,Ave,21004370-0,247280,-82.965807,42.404598,1,-9235711.38849301,5221780.26770012
BUS2024-00561,1904 JAC LLC,439 E Congress St,Cabaret ABC or Bar Class C License,NightClub,2025-05-31,Downtown,5.0,48226,439,E,Congress,St,01000141.001,28129,-83.0414385,42.332391,2,-9244130.64856094,5210900.78082327
BUS2011-00522,"METRO FISH AND SEAFOOD, LLC",18442 WEST GRAND RIVER AVENUE,Restaurant License,FoodServices,2025-05-31,,1.0,,18442,WEST,Grand River,Ave,,,-83.22386224542,42.403026909052,3,-9264437.9670097,5221543.41699011
BUS2024-00597,Metropolis Michigan LLC,1327 Broadway St,Parking Lot License,LPTV,2026-01-31,Downtown,6.0,,1327,,Broadway,St,01004031-2,545152,-83.046708,42.334866,4,-9244717.24661768,5211273.48420289
BUS2024-00602,4642 SECOND AVE LLC,4642 2nd Ave,Restaurant MLCC License,FoodServices,2025-05-31,Midtown,6.0,48201,4642,,2nd,Ave,02002381.,497172,-83.0671875,42.352992,5,-9246997.01412938,5214003.47541325
BUS2012-00012,"ADVANCE AUTO CARE, INC.",13632 Tireman Ave,Second Hand Store License,SecondHandSales,2025-10-31,Joy-Schaefer,7.0,48228,13632,,Tireman,Ave,22001948-51,351264,-83.1779865,42.351624,6,-9259331.10238978,5213797.41087773
BUS2011-00553,KORKIS TIRE SHOP INC.,5454 Grand River Ave,Second Hand Store License,SecondHandSales,2025-10-31,NW Goldberg,5.0,48208,5454,WEST,Grand River,Ave,10000570-9,536317,-83.096388,42.351876,7,-9250247.59892029,5213835.36979728
BUS2011-00607,"L.A. INSURANCE AGENCY 1, LLC",21745 W 8 Mile Rd,Second Hand Store License,SecondHandSales,2025-10-31,Evergreen Lahser 7/8,1.0,48219,21745,W,8 Mile,Rd,22019029.016L,96790,-83.257965,42.442812,8,-9268234.26828419,5227543.06886653
BUS2012-00485,"BARNO'S LIQUOR, INC.",14000 Telegraph Rd,Retailer License,Retail,2025-08-31,Eliza Howell,1.0,,14000,,Telegraph,Rd,22009303.,541589,-83.2748445,42.386859,9,-9270113.28562904,5219106.35914184
BUS2024-00611,19550 Grand River Ave,19550 Grand River Ave,Restaurant License,FoodServices,2025-05-31,North Rosedale Park,1.0,48223,19550,,Grand River,Ave,22007984-7,542349,-83.2347405,42.407631,10,-9265648.92877026,5222237.52611981
BUS2024-00632,"DEZ & KHLOE, INC",12924 Puritan St,Cabaret ABC or Bar Class C License,NightClub,2025-05-31,Harmony Village,2.0,48227,12924,,Puritan,St,22012372.,87917,-83.172456,42.409647,11,-9258715.44994595,5222541.47273122
BUS2011-00673,"B-JIL AUTO SALES II, LLC",9113 Pease St,Second Hand Store License,SecondHandSales,2025-10-31,Airport Sub,5.0,48211,9113,,Pease,St,15012723-5,1765,-83.0355435,42.396399,12,-9243474.42016272,5220544.28807063
BUS2012-00489,JAKE'S AUTO PARTS,19430 Mount Elliott St,Second Hand Store License,SecondHandSales,2025-10-31,Sherwood,3.0,48234,19430,,Mount Elliott,St,15014444.002L,538823,-83.037861,42.437871,13,-9243732.40308263,5226797.75149174
BUS2011-00050,EFG GROUP LLC,4114,Cabaret ABC or Bar Class C License,NightClub,2026-05-31,,,,4114,,,,,,,,14
BUS2024-00646,"POPA'S TIRE & AUTO REPAIR, INC",7740 W Warren Ave,Second Hand Store License,SecondHandSales,2025-10-31,Midwest,6.0,48210,7740,W,Warren,Ave,18003576-7,215859,-83.146689,42.344955,15,-9255847.08062668,5212792.91048695
BUS2012-00377,,12603 Dexter Ave,Retailer License,Retail,2025-08-31,Russell Woods,7.0,48238,12603,,Dexter,Ave,14006196-203,79176,-83.128385144811,42.385452535183,16,-9253809.50478749,5218894.38638397
BUS2011-00507,THE SUGAR HOUSE INC,2130 Michigan Ave,Cabaret ABC or Bar Class C License,NightClub,2025-05-31,Corktown,6.0,48216,2130,,Michigan,Ave,10000294.,348627,-83.0757825,42.331626,17,-9247953.80515275,5210785.58456404
